area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,parking,price
7420,4,2,3,1,0,0,2,791000
8960,4,4,4,1,0,0,3,919000
9960,3,2,2,1,0,1,2,994000
7500,4,2,2,1,0,1,3,811000
7420,4,1,2,1,1,1,2,801000
7500,3,3,1,1,0,1,2,800000
8580,4,3,4,1,0,0,2,873000
16200,5,3,2,1,0,0,0,1397000
8100,4,1,2,1,1,1,2,853000
5750,3,2,4,1,1,0,1,666000
13200,3,1,2,1,0,1,2,1231000
6000,4,3,2,1,1,1,2,717000
6550,4,2,2,1,0,0,1,711000
3500,4,2,2,1,0,0,2,494000
7800,3,2,2,1,0,0,0,784000
6000,4,1,2,1,0,1,2,692000
6600,4,2,2,1,1,1,1,748000
8500,3,2,4,1,0,0,2,865000
4600,3,2,2,1,1,0,2,583000
6420,3,2,2,1,0,0,1,706000
4320,3,1,2,1,0,1,2,576000
7155,3,2,1,1,1,1,2,782000
8050,3,1,1,1,1,1,1,835000
4560,3,2,2,1,1,1,1,585000
8800,3,2,2,1,0,0,2,873000
6540,4,2,2,1,1,1,2,743000
6000,3,2,4,1,1,1,0,714000
8875,3,1,1,1,0,0,1,861000
7950,5,2,2,1,0,1,2,852000
5500,4,2,2,1,0,1,1,658000
7475,3,2,4,1,0,0,2,806000
7000,3,1,4,1,0,0,2,761000
4880,4,2,2,1,0,0,1,594000
5960,3,3,2,1,1,1,1,695000
6840,5,1,2,1,1,1,1,765000
7000,3,2,4,1,0,0,2,760000
7482,3,2,3,1,0,0,1,793000
9000,4,2,4,1,0,0,2,911000
6000,3,1,4,1,1,0,2,686000
6000,4,2,4,1,0,0,1,683000
6550,3,1,2,1,0,1,0,720000
6360,3,2,4,1,0,0,0,700000
6480,3,2,4,1,0,0,2,732000
6000,4,2,4,1,0,0,2,696000
6000,4,2,4,1,0,0,1,694000
6000,3,2,3,1,0,0,0,662000
6000,3,2,4,1,0,0,1,686000
6600,3,1,4,1,0,0,3,750000
4300,3,2,2,1,0,1,1,563000
7440,3,2,1,1,1,1,0,790000
7440,3,2,4,1,0,0,1,779000
6325,3,1,4,1,0,0,1,707000
6000,4,2,4,1,1,0,1,694000
5150,3,2,4,1,0,0,2,630000
6000,3,2,2,1,1,0,1,673000
6000,3,1,2,1,0,0,1,662000
11440,4,1,2,1,0,1,1,1088000
9000,4,2,4,1,1,0,1,911000
7680,4,2,4,1,1,0,1,818000
6000,3,2,4,1,1,0,1,678000
6000,3,2,2,1,1,0,1,677000
8880,2,1,1,1,0,0,1,860000
6240,4,2,2,1,0,0,1,682000
6360,4,2,3,1,0,0,2,713000
11175,3,1,1,1,0,1,1,1056000
8880,3,2,2,1,0,1,1,908000
13200,2,1,1,1,0,1,1,1201000
7700,3,2,1,1,0,0,2,796000
6000,3,1,1,1,0,0,1,660000
12090,4,2,2,1,0,0,2,1113000
4000,3,2,2,1,0,1,0,532000
6000,4,2,4,1,0,0,0,678000
5020,3,1,4,1,0,0,0,602000
6600,2,2,4,1,0,1,0,741000
4040,3,1,2,1,0,1,1,548000
4260,4,2,2,1,0,0,0,529000
6420,3,2,3,1,0,0,0,699000
6500,3,2,3,1,0,0,0,711000
5700,3,1,1,1,1,1,2,672000
6000,3,2,3,1,1,0,0,673000
6000,3,1,2,1,0,0,1,655000
4000,3,2,2,1,0,1,1,544000
10500,3,2,1,1,0,1,1,1014000
6000,3,2,4,1,0,0,0,671000
3760,3,1,2,1,0,0,2,510000
8250,3,2,3,1,0,0,0,828000
6670,3,1,3,1,0,1,0,731000
3960,3,1,1,1,0,1,2,549000
7410,3,1,1,1,1,1,2,802000
8580,5,3,2,1,0,0,2,876000
5000,3,1,2,1,0,0,0,576000
6750,2,1,1,1,1,1,2,747000
4800,3,2,4,1,1,0,0,592000
7200,3,2,1,1,0,1,3,791000
6000,4,2,4,1,0,0,1,694000
4100,3,2,3,1,0,0,2,545000
9000,3,1,1,1,0,1,1,897000
6400,3,1,1,1,1,1,1,722000
6600,3,2,3,1,0,0,0,713000
6000,4,1,3,1,1,1,0,688000
6600,3,2,1,1,0,1,0,726000
5500,3,1,3,1,0,0,1,646000
5500,3,2,4,1,1,0,1,653000
6350,3,2,3,1,1,0,0,699000
5500,3,2,1,1,1,1,2,661000
4500,3,1,4,1,0,0,0,571000
5450,4,2,1,1,0,1,0,634000
6420,3,1,3,1,0,1,0,724000
3240,4,1,3,1,0,0,1,465000
6615,4,2,2,1,1,0,1,712000
6600,3,1,1,1,1,1,2,744000
8372,3,1,3,1,0,0,2,858000
4300,6,2,2,1,0,0,0,530000
9620,3,1,1,1,0,1,2,955000
6800,2,1,1,1,1,1,2,752000
8000,3,1,1,1,1,1,2,839000
6900,3,2,1,1,1,1,0,753000
3700,4,1,2,1,1,0,0,503000
6420,3,1,1,1,0,1,0,699000
7020,3,1,1,1,0,1,2,765000
6540,3,1,1,1,1,1,2,741000
7231,3,1,2,1,1,1,0,785000
6254,4,2,1,1,0,1,1,701000
7320,4,2,2,1,0,0,0,754000
6525,3,2,4,1,0,0,1,718000
15600,3,1,1,1,0,0,2,1359000
7160,3,1,1,1,0,1,2,785000
6500,3,2,3,1,0,0,0,694000
5500,3,1,3,1,1,0,1,636000
11460,3,1,3,1,0,0,2,1077000
4800,3,1,1,1,1,1,0,595000
5828,4,1,4,1,1,0,0,661000
5200,3,1,3,1,0,0,0,613000
4800,3,1,3,1,0,0,0,582000
7000,3,1,1,1,0,1,2,757000
6000,3,2,4,1,0,0,0,684000
5400,4,2,2,1,0,0,2,631000
4640,4,1,2,1,0,0,1,577000
5000,3,1,3,1,0,0,0,586000
6360,3,1,1,1,1,1,2,729000
5800,3,2,4,1,0,0,0,651000
6660,4,2,2,1,1,1,1,739000
10500,4,2,2,1,0,0,1,988000
4800,5,2,3,0,0,1,0,590000
4700,4,1,2,1,1,1,1,603000
5000,3,1,4,1,0,0,0,603000
10500,2,1,1,1,0,0,1,975000
5500,3,2,2,1,0,0,1,632000
6360,3,1,3,1,0,0,0,685000
6600,4,2,1,1,0,1,0,715000
5136,3,1,2,1,1,1,0,625000
4400,4,1,2,1,0,0,2,561000
5400,5,1,2,1,1,1,0,640000
3300,3,3,2,1,0,1,0,485000
3650,3,2,2,1,0,0,2,502000
6100,3,2,1,1,0,1,2,712000
6900,3,1,1,1,1,1,0,749000
2817,4,2,2,0,1,1,1,462000
7980,3,1,1,1,0,0,2,813000
3150,3,2,1,1,1,1,0,472000
6210,4,1,4,1,1,0,0,690000
6100,3,1,3,1,1,0,0,673000
6600,4,2,2,1,1,1,0,736000
6825,3,1,1,1,1,1,0,730000
6710,3,2,2,1,1,1,1,745000
6450,3,2,1,1,1,1,0,711000
7800,3,1,1,1,0,1,2,830000
4600,2,2,1,1,0,0,2,559000
4260,4,1,2,1,0,1,0,551000
6540,4,2,2,0,0,0,0,685000
5500,3,2,1,1,0,1,0,652000
10269,3,1,1,1,0,0,1,974000
8400,3,1,2,1,1,1,2,887000
5300,4,2,1,1,0,0,0,604000
3800,3,1,2,1,1,1,1,539000
9800,4,2,2,1,1,0,2,964000
8520,3,1,1,1,0,0,2,852000
6050,3,1,1,1,0,1,0,678000
7085,3,1,1,1,1,1,2,773000
3180,3,2,2,1,0,0,2,479000
4500,4,2,1,0,0,1,2,566000
7200,3,1,2,1,1,1,1,777000
3410,3,1,2,0,0,0,0,458000
7980,3,1,1,1,0,0,1,798000
3000,3,2,2,1,1,1,0,472000
3000,3,1,2,1,0,1,0,460000
11410,2,1,2,1,0,0,0,1055000
6100,3,1,1,1,0,1,0,689000
5720,2,1,2,1,0,0,0,631000
3540,2,1,1,0,1,1,0,482000
7600,4,1,2,1,0,0,2,788000
10700,3,1,2,1,1,1,0,1027000
6600,3,1,1,1,1,1,0,720000
4800,2,1,1,1,1,1,0,600000
8150,3,2,1,1,1,1,0,841000
4410,4,3,2,1,0,1,2,584000
7686,3,1,1,1,1,1,0,804000
2800,3,2,2,0,0,1,1,443000
5948,3,1,2,1,0,0,0,648000
4200,3,1,2,1,0,0,1,531000
4520,3,1,2,1,0,1,0,574000
4095,3,1,2,0,1,1,0,539000
4120,2,1,1,1,0,1,1,544000
5400,4,1,2,1,0,0,0,613000
4770,3,1,1,1,1,1,0,593000
6300,3,1,1,1,0,0,2,696000
5800,2,1,1,1,1,1,0,654000
3000,3,1,2,1,0,1,0,469000
2970,3,1,3,1,0,0,0,435000
6720,3,1,1,1,0,0,0,711000
4646,3,1,2,1,1,1,2,607000
12900,3,1,1,1,0,0,2,1164000
3420,4,2,2,1,0,1,2,518000
4995,4,2,1,1,0,1,0,599000
4350,2,1,1,1,0,1,0,551000
4160,3,1,3,1,0,0,0,526000
6040,3,1,1,1,0,0,2,675000
6862,3,1,2,1,0,0,2,743000
4815,2,1,1,1,0,0,0,559000
7000,3,1,2,1,0,1,0,747000
8100,4,1,4,1,0,1,2,862000
3420,4,2,2,1,0,0,0,477000
9166,2,1,1,1,0,1,2,927000
6321,3,1,2,1,0,1,1,722000
10240,2,1,1,1,0,0,2,965000
6440,2,1,1,1,0,0,3,708000
5170,3,1,4,1,0,0,0,613000
6000,2,1,1,1,0,1,1,690000
3630,3,1,2,1,0,0,2,506000
9667,4,2,2,1,1,1,1,958000
5400,2,1,2,1,0,0,0,610000
4320,3,1,1,1,0,0,0,527000
3745,3,1,2,1,0,1,0,519000
4160,3,1,1,1,1,1,0,551000
3880,3,2,2,1,0,1,2,541000
5680,3,1,2,1,1,0,1,651000
2870,2,1,2,1,1,1,0,460000
5010,3,1,2,1,0,1,0,606000
4510,4,2,2,1,0,1,0,586000
4000,3,1,2,1,0,0,1,517000
3840,3,1,2,1,0,0,1,498000
3760,3,1,1,1,0,0,2,498000
3640,3,1,2,1,0,0,0,486000
2550,3,1,2,1,0,1,0,424000
5320,3,1,2,1,1,1,0,644000
5360,3,1,2,1,0,0,2,636000
3520,3,1,1,1,0,0,0,468000
8400,4,1,4,1,0,0,3,865000
4100,2,2,1,1,1,1,0,541000
4990,4,2,2,1,1,1,0,620000
3510,3,1,3,1,0,0,0,486000
3450,3,1,2,1,0,1,1,511000
9860,3,1,1,1,0,0,0,927000
3520,2,1,2,1,0,0,0,482000
4510,4,1,2,1,0,0,2,557000
5885,2,1,1,1,0,0,1,641000
4000,3,1,2,1,0,0,2,527000
8250,3,1,1,1,0,0,0,815000
4040,3,1,2,1,0,0,1,521000
6360,2,1,1,1,0,1,1,717000
3162,3,1,2,1,0,0,1,466000
3510,3,1,2,1,0,0,0,480000
3750,2,1,1,1,1,1,0,507000
3968,3,1,2,0,0,0,0,497000
4900,2,1,2,1,0,1,0,596000
2880,3,1,2,1,0,0,0,429000
4880,3,1,1,1,0,0,2,588000
4920,3,1,2,1,0,0,1,576000
4950,4,1,2,1,0,0,0,582000
3900,3,1,2,1,0,0,0,496000
4500,3,2,3,1,0,0,1,571000
1905,5,1,2,0,0,1,0,376000
4075,3,1,1,1,1,1,2,552000
3500,4,1,2,1,0,0,2,495000
6450,4,1,2,1,0,0,0,692000
4032,2,1,1,1,0,1,0,533000
4400,2,1,1,1,0,0,1,546000
10360,2,1,1,1,0,0,1,975000
3400,3,1,2,1,0,1,2,503000
6360,2,1,1,1,0,0,0,677000
6360,2,1,2,1,0,0,0,685000
4500,2,1,1,1,0,0,2,558000
2175,3,1,2,0,1,1,0,388000
4360,4,1,2,1,0,0,0,548000
7770,2,1,1,1,0,0,1,787000
6650,3,1,2,1,1,0,0,704000
2787,3,1,1,1,0,1,0,449000
5500,3,1,2,1,0,0,0,623000
5040,3,1,2,1,0,1,0,605000
5850,2,1,1,1,1,1,2,681000
2610,4,3,2,0,0,0,0,410000
2953,3,1,2,1,0,1,0,457000
2747,4,2,2,0,0,0,0,409000
4410,2,1,1,0,0,0,1,523000
4000,4,2,2,0,0,0,0,495000
2325,3,1,2,0,0,0,0,376000
4600,3,2,2,1,0,0,1,571000
3640,3,2,2,1,0,1,0,509000
5800,3,1,1,1,0,0,2,645000
7000,3,1,1,1,0,0,3,746000
4079,3,1,3,1,0,0,0,527000
3520,3,1,2,1,0,0,0,481000
2145,3,1,3,1,0,0,1,401000
4500,3,1,1,1,0,1,0,575000
8250,3,1,1,1,0,1,3,860000
3450,3,1,2,1,0,0,1,475000
4840,3,1,2,1,0,0,1,573000
4080,3,1,2,1,0,0,2,523000
4046,3,1,2,1,0,1,1,544000
4632,4,1,2,1,0,0,0,552000
5985,3,1,1,1,0,1,0,672000
6060,2,1,1,1,0,1,1,689000
3600,3,1,1,1,0,1,0,505000
3680,3,2,2,1,0,0,0,492000
4040,2,1,2,1,0,0,1,515000
5600,2,1,1,1,0,0,0,629000
5900,4,2,2,0,0,1,1,674000
4992,3,2,2,1,0,0,2,600000
4340,3,1,1,1,0,0,0,535000
3000,4,1,3,1,0,1,2,493000
4320,3,1,2,1,0,0,2,558000
3630,3,2,2,1,0,0,2,507000
3460,3,2,1,1,0,1,1,504000
5400,3,1,1,1,0,0,3,632000
4500,3,1,2,0,0,1,0,565000
3460,4,1,2,1,0,0,0,471000
4100,4,1,1,0,0,1,0,519000
6480,3,1,2,0,0,0,1,689000
4500,3,2,2,0,0,1,0,564000
3960,3,1,2,1,0,0,0,512000
4050,2,1,2,1,1,1,0,539000
7260,3,2,1,1,1,1,3,806000
5500,4,1,2,1,1,1,0,661000
3000,3,1,2,1,0,0,0,433000
3290,2,1,1,1,0,0,1,458000
3816,2,1,1,1,0,1,2,526000
8080,3,1,1,1,0,0,2,819000
2145,4,2,1,1,0,1,0,403000
3780,2,1,2,1,1,1,0,525000
3180,4,2,2,1,0,0,0,458000
5300,5,2,2,1,0,0,0,609000
3180,2,2,1,1,0,1,2,479000
7152,3,1,2,1,0,0,0,746000
4080,2,1,1,1,0,0,0,511000
3850,2,1,1,1,0,0,0,488000
2015,3,1,2,1,0,1,0,391000
2176,2,1,2,1,1,0,0,382000
3350,3,1,2,1,0,0,0,460000
3150,2,2,1,0,0,1,0,463000
4820,3,1,2,1,0,0,0,570000
3420,2,1,2,1,0,0,1,484000
3600,2,1,1,1,0,0,0,465000
5830,2,1,1,1,0,0,2,647000
2856,3,1,3,1,0,0,0,445000
8400,2,1,1,1,0,0,1,838000
8250,3,1,1,1,0,0,2,835000
2520,5,2,1,0,0,1,1,432000
6930,4,1,2,0,0,0,1,727000
3480,2,1,1,1,0,0,0,459000
3600,3,1,1,1,0,0,1,489000
4040,2,1,1,1,0,0,0,503000
6020,3,1,1,1,0,0,0,650000
4050,2,1,1,1,0,0,0,500000
3584,2,1,1,1,0,0,0,473000
3120,3,1,2,0,0,1,0,465000
5450,2,1,1,1,0,0,0,601000
3630,2,1,1,1,0,1,0,503000
3630,2,1,1,1,0,0,0,482000
5640,2,1,1,0,0,0,0,610000
3600,2,1,1,1,0,0,0,478000
4280,2,1,1,1,0,0,2,529000
3570,3,1,2,1,0,1,0,515000
3180,3,1,2,0,0,1,0,470000
3000,2,1,2,1,0,0,0,429000
3520,2,2,1,1,0,1,0,490000
5960,3,1,2,1,1,1,0,689000
4130,3,2,2,1,0,0,2,529000
2850,3,2,2,0,0,1,0,453000
2275,3,1,3,1,0,0,0,385000
3520,3,1,1,1,0,0,2,483000
4500,2,1,1,1,0,0,0,531000
4000,2,1,1,1,0,0,0,497000
3150,3,1,2,1,0,1,0,481000
4500,4,2,2,1,0,1,2,586000
4500,2,1,1,0,0,0,0,524000
3640,2,1,1,1,0,0,0,481000
3850,3,1,1,1,0,0,2,500000
4240,3,1,2,1,0,0,0,539000
3650,3,1,2,1,0,0,0,485000
4600,4,1,2,1,0,0,0,552000
2135,3,2,2,0,0,0,0,359000
3036,3,1,2,1,0,1,0,459000
3990,3,1,2,1,0,0,0,503000
7424,3,1,1,0,0,0,0,732000
3480,3,1,1,0,0,0,0,444000
3600,6,1,2,1,0,0,1,494000
3640,2,1,1,1,0,0,1,476000
5900,2,1,1,1,0,0,1,652000
3120,3,1,2,1,0,0,1,460000
7350,2,1,1,1,0,0,1,747000
3512,2,1,1,1,0,0,1,465000
9500,3,1,2,1,0,0,3,938000
5880,2,1,1,1,0,0,0,647000
12944,3,1,1,1,0,0,0,1163000
4900,3,1,2,0,0,0,0,555000
3060,3,1,1,1,0,0,0,444000
5320,2,1,1,1,0,0,1,607000
2145,3,1,3,1,0,0,0,390000
4000,2,1,1,1,0,0,0,501000
3185,2,1,1,1,0,0,2,453000
3850,3,1,1,1,0,0,0,484000
2145,3,1,3,1,0,0,0,376000
2610,3,1,2,1,0,1,0,431000
1950,3,2,2,1,0,1,0,396000
4040,2,1,1,1,0,0,0,500000
4785,3,1,2,1,1,1,1,606000
3450,3,1,1,1,0,1,2,500000
3640,2,1,1,1,0,0,0,467000
3500,4,1,2,1,0,0,2,489000
4960,4,1,3,0,0,0,0,588000
4120,2,1,2,1,0,0,0,516000
4750,2,1,1,1,0,0,0,554000
3720,2,1,1,0,0,0,0,468000
3750,3,1,1,1,0,0,0,479000
3100,3,1,2,0,0,1,0,460000
3185,2,1,1,1,0,1,2,490000
2700,3,1,1,0,0,0,0,391000
2145,3,1,2,1,0,1,0,394000
4040,2,1,1,1,0,0,1,511000
4775,4,1,2,1,0,0,0,576000
2500,2,1,1,0,0,0,0,378000
3180,4,1,2,1,0,1,0,483000
6060,3,1,1,1,1,1,0,682000
3480,4,1,2,0,0,0,1,468000
3792,4,1,2,1,0,0,0,497000
4040,2,1,1,1,0,0,0,499000
2145,3,1,2,1,0,1,0,413000
5880,3,1,1,1,0,0,1,655000
4500,2,1,1,0,0,0,0,530000
3930,2,1,1,0,0,0,0,490000
3640,4,1,2,1,0,1,0,519000
4370,3,1,2,1,0,0,0,529000
2684,2,1,1,1,0,0,1,419000
4320,3,1,1,0,0,0,1,531000
3120,3,1,2,0,0,0,0,439000
3450,1,1,1,1,0,0,0,467000
3986,2,2,1,0,1,1,1,535000
3500,2,1,1,0,0,1,0,486000
4095,2,1,1,1,0,0,2,532000
1650,3,1,2,0,0,1,0,347000
3450,3,1,2,1,0,1,0,507000
6750,2,1,1,1,0,0,0,693000
9000,3,1,2,1,0,0,2,886000
3069,2,1,1,1,0,0,1,437000
4500,3,1,2,1,0,0,0,556000
5495,3,1,1,1,0,1,0,636000
2398,3,1,1,1,0,0,0,381000
3000,3,1,1,0,0,0,0,427000
3850,3,1,2,1,0,0,0,503000
3500,2,1,1,1,0,0,0,460000
8100,2,1,1,1,0,0,1,803000
4960,2,1,1,1,0,1,0,592000
2160,3,1,2,0,0,1,0,395000
3090,2,1,1,1,1,1,0,460000
4500,2,1,2,1,0,0,1,552000
3800,2,1,1,1,0,0,0,491000
3090,3,1,2,0,0,0,0,428000
3240,3,1,2,1,0,0,2,475000
2835,2,1,1,1,0,0,0,426000
4600,2,1,1,1,0,0,0,555000
5076,3,1,1,0,0,0,0,579000
3750,3,1,2,1,0,0,0,493000
3630,4,1,2,1,0,0,3,505000
8050,2,1,1,1,0,0,0,797000
4352,4,1,2,0,0,0,1,534000
3000,2,1,2,1,0,0,0,435000
5850,3,1,2,1,0,1,1,676000
4960,2,1,1,1,0,0,0,578000
3600,3,1,2,0,0,0,1,485000
3660,4,1,2,0,0,0,0,485000
3480,3,1,2,0,0,0,1,475000
2700,2,1,1,0,0,0,0,392000
3150,3,1,2,0,0,0,0,439000
6615,3,1,2,1,0,0,0,703000
3040,2,1,1,0,0,0,0,413000
3630,2,1,1,1,0,0,0,483000
6000,2,1,1,1,0,0,0,655000
5400,4,1,2,1,0,0,0,622000
5200,4,1,3,1,0,0,0,609000
3300,3,1,2,0,0,0,1,452000
4350,3,1,2,0,0,0,1,530000
2640,2,1,1,0,0,0,1,399000
2650,3,1,2,1,0,1,1,455000
3960,3,1,1,1,0,0,0,502000
6800,2,1,1,1,0,0,0,702000
4000,3,1,2,1,0,0,1,511000
4000,2,1,1,1,0,0,0,502000
3934,2,1,1,1,0,0,0,502000
2000,2,1,2,1,0,0,0,357000
3630,3,3,2,0,1,0,0,472000
2800,3,1,1,1,0,0,0,416000
2430,3,1,1,0,0,0,0,370000
3480,2,1,1,1,0,0,1,467000
4000,3,1,1,1,0,0,0,494000
3185,2,1,1,1,0,0,0,436000
4000,3,1,2,1,0,0,0,513000
2910,2,1,1,0,0,0,0,412000
3600,2,1,1,1,0,0,0,479000
4400,2,1,1,1,0,0,0,528000
3600,2,2,2,1,0,1,1,514000
2880,3,1,1,0,0,0,0,414000
3180,3,1,1,0,0,0,0,427000
3000,2,1,2,1,0,0,0,447000
4400,3,1,2,1,0,0,0,547000
3000,3,1,2,0,0,0,0,428000
3210,3,1,2,1,0,1,0,472000
3240,2,1,1,0,1,0,1,454000
3000,2,1,1,1,0,0,1,429000
3500,2,1,1,1,1,0,0,465000
4840,2,1,2,1,0,0,0,575000
7700,2,1,1,1,0,0,0,773000
3635,2,1,1,0,0,0,0,465000
2475,3,1,2,1,0,0,0,409000
2787,4,2,2,1,0,0,0,432000
3264,2,1,1,1,0,0,0,453000
3640,2,1,1,1,0,0,0,476000
3180,2,1,1,1,0,0,0,450000
1836,2,1,1,0,0,1,0,351000
3970,1,1,1,0,0,0,0,490000
3970,3,1,2,1,0,1,0,536000
1950,3,1,1,0,0,0,0,338000
5300,3,1,1,0,0,0,0,581000
3000,2,1,1,0,0,0,0,412000
2400,3,1,2,1,0,0,0,399000
3000,4,1,2,1,0,0,0,445000
3360,2,1,1,1,0,0,1,458000
3420,5,1,2,0,0,0,0,452000
1700,3,1,2,1,0,0,0,349000
3649,2,1,1,1,0,0,0,475000
2990,2,1,1,0,0,0,1,417000
3000,2,1,1,1,0,1,2,474000
2400,3,1,1,0,0,0,0,373000
3620,2,1,1,1,0,0,0,471000
2910,3,1,1,0,0,0,0,402000
3850,3,1,2,1,0,0,0,499000
